chave,idade,corRaca,trancamentos,notaIngresso,escolaPublica,nota,falta,ultimoSemestre,quantidadeRematricula,numDisciplinaUltimo,tempoUniversidade,aprovados,matriculado,reprovado_falta,reprovado_media,sexo_code,estadoCivil_code,deficiencia_code,matutino,vespertino,noturno,tipoVaga_code,moraCampus,grande_area,tempo_2_grau_superior,evadido
899F5044-7AD1-4CCE-88B1-38A1C6B0A0C4,24.0,0,0,657.3,0,3.15012987012987,20.5974025974026,8.0,12,2,12,27.0,0.0,29.0,21.0,0,0,0,1,1,0,0,0,5,2,1
17A24172-777E-46D9-BFDF-D9465B1DCE4D,33.0,1,0,543.4,0,7.463424657534245,2.8493150684931505,9.0,11,1,12,71.0,0.0,0.0,2.0,0,0,0,1,1,0,0,1,5,0,0
BCB43225-578A-48EC-99DA-E242A4DF0B64,24.0,0,2,575.66,0,3.0619047619047617,16.61904761904762,1.0,4,1,4,5.0,0.0,7.0,9.0,1,0,0,1,1,0,0,1,5,2,1
DB643205-09FF-4E5A-8E24-0B8E4E7FF4C2,38.0,1,1,521.84,0,6.229166666666667,13.555555555555555,4.0,4,1,5,12.0,0.0,5.0,1.0,1,0,0,0,0,1,1,0,5,6,1
C4E050D5-0EAD-4686-8806-F703B41C8439,25.0,1,0,657.3,1,7.877631578947367,2.5526315789473686,8.0,8,3,8,38.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,4,2,0
87ABFE01-39E1-4C16-858C-55179BA737A0,26.0,0,1,561.8,0,3.564166666666667,18.33333333333333,6.0,7,6,7,14.0,0.0,9.0,13.0,1,0,0,1,1,0,0,0,4,2,1
DE1457E9-18F9-4077-A606-3900C04CB6E9,33.0,0,0,632.46,0,6.45675,4.9,8.0,6,3,6,38.0,0.0,1.0,1.0,0,0,0,1,1,0,0,0,4,18,0
E951B391-5034-46D2-9A97-8AA838737BEC,27.0,0,0,621.84,0,7.865263157894738,2.236842105263158,8.0,6,3,6,38.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,4,6,0
D2FD5E0E-8F8C-4742-A62F-39622C48C2C5,34.0,1,2,644.04,0,7.443529411764706,3.882352941176471,8.0,4,1,6,17.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,7,18,1
BF3DF459-0BBA-4C5E-B23C-531057FDDFDC,25.0,0,0,560.64,1,5.866071428571429,6.678571428571429,8.0,11,7,11,41.0,0.0,3.0,12.0,0,0,0,0,0,1,0,0,7,2,0
1AF3D91B-CBD3-4A85-BB3F-A72032AD6CF1,31.0,0,2,561.06,1,5.291199999999999,5.78,8.0,12,7,14,39.0,0.0,4.0,7.0,0,0,0,0,0,1,0,0,7,14,0
3D73D400-1A2C-4D52-A1AF-0E4DC713EECE,26.0,1,1,536.12,0,3.615,27.22222222222222,4.0,4,5,6,10.0,0.0,6.0,2.0,1,0,0,0,0,1,1,0,6,6,0
56F40E5C-6906-4C89-A086-EC894E13EC78,23.0,1,1,513.76,0,0.0,65.6,1.0,1,5,1,0.0,0.0,5.0,0.0,0,0,0,0,0,1,1,0,7,2,0
BDD16FD3-31BB-4A6B-878A-BB13C4E45F52,23.0,1,0,579.92,0,8.816249999999998,3.9166666666666665,4.0,4,7,4,24.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,6,2,0
0D784707-97BE-4032-A2D8-8F00E8D9C5A9,23.0,1,0,564.48,0,8.315714285714286,5.523809523809524,4.0,4,4,4,19.0,0.0,0.0,2.0,0,0,0,0,0,1,1,0,6,2,0
30592F56-E038-468A-9A3F-2736FB8EA10B,23.0,1,0,575.58,0,0.0,49.333333333333336,1.0,2,5,3,0.0,0.0,5.0,1.0,1,0,0,0,0,1,1,0,6,2,0
058BFA69-56E1-4754-90EA-ABC82E4653AA,33.0,1,1,556.88,0,0.0,38.833333333333336,1.0,1,6,1,0.0,0.0,5.0,1.0,0,0,0,1,1,0,1,0,5,26,0
